Source,Target,Weight
106,2257,1
106,8542,1
106,4176,15
106,3082,2
106,6879,1
106,2530,3
106,5221,2
106,5222,1
106,6593,1
106,2534,2
106,1433,1
106,4699,1
106,8553,4
106,7778,3
106,7438,1
106,3174,8
106,896,1
106,5782,7
106,2002,1
106,7951,2
106,5784,4
106,355,1
106,904,8
106,7978,6
106,3645,3
106,5310,2
106,6338,7
106,5789,4
106,5035,3
106,2616,1
106,4713,1
106,1794,7
106,6984,3
106,2553,2
106,1454,2
106,4200,5
106,4718,5
106,5253,1
106,8575,1
106,4401,22
106,7994,10
106,7996,7
106,6905,1
106,6588,2
106,918,1
106,919,1
106,5800,2
106,1134,1
106,7458,1
106,6354,2
106,1151,1
106,6357,27
106,3078,1
106,879,1
106,3127,3
106,2031,1
106,6916,1
106,375,6
106,5267,1
106,5268,1
106,3678,7
106,3680,2
106,1473,1
106,6665,1
106,2582,7
106,6678,1
106,3136,1
106,4223,1
106,8600,1
106,7467,1
106,386,8
106,1623,16
106,341,1
106,5821,1
106,4747,3
106,5284,3
106,8019,6
106,798,1
106,3496,2
106,2595,1
106,6940,1
106,6942,1
106,3697,11
106,7477,5
106,6384,1
106,2355,5
106,6385,6
106,2604,5
106,5695,3
106,2063,3
106,3703,1
106,4758,1
106,951,15
106,4361,18
106,8032,26
106,4242,1
106,8320,1
106,4760,2
106,4244,4
106,3710,15
106,8623,1
106,8036,21
106,7491,1
106,2721,13
106,7497,1
106,5850,2
106,408,2
106,3171,1
106,2889,2
106,351,1
106,3644,1
106,2615,2
106,3716,2
106,414,29
106,8637,2
106,1510,4
106,5859,1
106,6417,3
106,966,1
106,419,2
106,4781,1
106,7511,9
106,4264,2
106,8650,12
106,3185,31
106,6395,3
106,4274,2
106,5331,1
106,6426,21
106,3140,1
106,2641,13
106,7522,1
106,8101,3
106,8071,1
106,1534,1
106,3635,2
106,8072,1
106,8691,5
106,2650,2
106,3741,3
106,3195,1
106,6438,1
106,3196,1
106,5342,1
106,4288,1
106,4289,5
106,3745,1
106,5877,1
106,5958,11
106,994,1
106,6443,1
106,5328,1
106,6444,11
106,5880,1
106,6528,2
106,7602,1
106,5349,10
106,4298,1
106,5352,6
106,6993,26
106,4806,1
106,1542,7
106,3699,5
106,6458,1
106,3755,1
106,7439,4
106,7001,2
106,3363,3
106,5831,1
106,7006,1
106,4002,1
106,8096,1
106,8682,1
106,5365,4
106,6079,1
106,463,2
106,5334,1
106,353,12
106,4820,1
106,2128,2
106,3774,1
106,6478,4
106,7017,1
106,4823,2
106,3995,7
106,2901,2
106,3228,134
106,3229,8
106,2137,1
106,7026,3
106,1822,1
106,4956,16
106,1036,1
106,474,2
106,8115,126
106,7029,1
106,2967,2
106,8706,1
106,1823,1
106,4836,2
106,1046,1
106,8126,2
106,5927,1
106,6497,433
106,7040,1
106,4239,1
106,5398,1
106,5418,3
106,3194,2
106,2963,18
106,4843,5
106,5932,1
106,1599,3
106,617,1
106,5874,1
106,2164,1
106,4849,1
106,498,3
106,3197,1
106,3803,1
